,vid,name,game,date created,title,duration of broadcast,views
0,280907742,beyondthesummit,Dota 2,2018-07-04T20:46:40Z,Wind and Rain vs Alliance Game 2 - BTS Summer Cup Phase 2: Group A,0:56:42,121
1,280907406,beyondthesummit,Dota 2,2018-07-04T20:45:31Z,Wind and Rain vs Alliance Game 1 - BTS Summer Cup Phase 2: Group A,1:01:18,110
2,280786682,beyondthesummit,Dota 2,2018-07-04T14:35:13Z,Wind and Rain vs Vega Squadron Game 1 - BTS Summer Cup Phase 2: Group A,0:57:36,126
3,280750593,beyondthesummit,Dota 2,2018-07-04T11:52:44Z,UP NEXT: BTS Summer Cup Day 6 - Phase 2: Wind and Rain vs Vega Squadron,"1 day, 1:48:30",454
4,280577479,beyondthesummit,Dota 2,2018-07-03T23:04:31Z,LeftOneTV vs Vega Squadron Game 3 - BTS Summer Cup Phase 1: Losers' Finals,0:56:00,240
5,280567909,beyondthesummit,Dota 2,2018-07-03T22:32:25Z,LeftOneTV vs Vega Squadron Game 1 - BTS Summer Cup Phase 1: Losers' Finals,1:19:54,194
6,280475645,beyondthesummit,Dota 2,2018-07-03T17:41:57Z,Vega Squadron vs No Bounty Hunter Game 2 - BTS Summer Cup Phase 1: Losers' Round 3,0:45:48,103
7,280201478,beyondthesummit,Dota 2,2018-07-02T22:13:09Z,Gang Squad vs LeftOneTV Game 3 - BTS Summer Cup Phase 1: Winners' Finals,0:46:00,150
8,280190138,beyondthesummit,Dota 2,2018-07-02T21:38:36Z,RERUN: Team Kinguin vs Wind and Rain - TI8 Europe Regional Qualifiers: Group Stage,"1 day, 14:11:39",500
9,280042541,beyondthesummit,Dota 2,2018-07-02T13:43:59Z,LIVE: BTS Summer Cup Day 4 Part 2 - Singularity vs Vega Squadron w/ @Bkop92,7:54:02,599
10,280018277,beyondthesummit,Dota 2,2018-07-02T11:47:38Z,LIVE: BTS Summer Cup Day 4 Part 1 - Singularity vs Vega Squadron w/ @Bkop92,1:52:32,194
11,279836644,beyondthesummit,Dota 2,2018-07-01T22:01:15Z,LeftOneTV vs Team Singularity Game 1 - BTS Summer Cup Phase 1: Semifinals,0:54:06,108
12,279459994,beyondthesummit,Dota 2,2018-06-30T21:37:02Z,Team Empire vs 20 min afk les Game 3 - BTS Summer Cup Phase 1: Losers' Round 1,0:45:54,107
13,279376889,beyondthesummit,Dota 2,2018-06-30T17:31:05Z,MEGA-LADA vs Vega Squadron Game 1 - BTS Summer Cup Phase 1: Losers' Round 1,1:30:18,153
14,279279967,beyondthesummit,Dota 2,2018-06-30T11:47:24Z,LIVE: BTS Summer Cup Day 2 - Singularity vs 20 min afk les w/ @KillerPigeon & @lizZardDota2,"1 day, 23:58:00",912
15,279044644,beyondthesummit,Dota 2,2018-06-29T20:01:48Z,Vega Squadron vs Gang Squad Game 3 - BTS Summer Cup Phase 1: Quarterfinals,0:56:48,211
16,278997290,beyondthesummit,Dota 2,2018-06-29T17:47:54Z,Vega Squadron vs Gang Squad Game 2 - BTS Summer Cup Phase 1: Quarterfinals,1:06:12,157
17,278996006,beyondthesummit,Dota 2,2018-06-29T17:43:51Z,Vega Squadron vs Gang Squad Game 1 - BTS Summer Cup Phase 1: Quarterfinals,0:51:06,196
18,278992700,beyondthesummit,Dota 2,2018-06-29T17:32:57Z,No Bounty Hunter vs MEGA-LADA Game 1 - BTS Summer Cup Phase 1: Quarterfinals,0:53:06,141
19,278720842,beyondthesummit,Dota 2,2018-06-28T22:16:44Z,RERUN: Double Dimension vs Gambit - TI8 CIS Qualifiers: Group Stage - @Dakota @Lacoste @Purge @syndereN,"1 day, 13:28:34",706
20,278322734,beyondthesummit,Dota 2,2018-06-27T20:44:56Z,RERUN: Keen Gaming vs Invictus Gaming - TI8 China Regional Qualifiers: Tiebreakers,"1 day, 1:24:46",628
21,277602383,beyondthesummit,Dota 2,2018-06-26T00:21:15Z,Immortals vs OpTic Gaming Game 2 - TI8 North America Qualifiers: Losers' Finals,1:00:35,3013
22,277595279,beyondthesummit,Dota 2,2018-06-26T00:01:44Z,RERUN: Wind and Rain vs BlinkPool Game 1 - TI8 Europe Regional Qualifiers: Losers' Finals,"1 day, 19:52:15",3261
23,277554073,beyondthesummit,Dota 2,2018-06-25T22:00:57Z,OG vs Wind and Rain Game 4 - TI8 Europe Regional Qualifiers: Grand Finals,0:49:22,1692
24,277522784,beyondthesummit,Dota 2,2018-06-25T20:30:26Z,OG vs Wind and Rain Game 3 - TI8 Europe Regional Qualifiers: Grand Finals,1:02:37,949
25,277492625,beyondthesummit,Dota 2,2018-06-25T19:08:00Z,OG vs Wind and Rain Game 2 - TI8 Europe Regional Qualifiers: Grand Finals,0:59:44,1061
26,277491963,beyondthesummit,Dota 2,2018-06-25T19:06:25Z,OG vs Wind and Rain Game 1 - TI8 Europe Regional Qualifiers: Grand Finals,1:03:35,1369
27,277447759,beyondthesummit,Dota 2,2018-06-25T17:06:35Z,Wind and Rain vs BlinkPool Game 3 - TI8 Europe Regional Qualifiers: Losers' Finals,1:27:42,198
28,277444860,beyondthesummit,Dota 2,2018-06-25T16:59:31Z,Wind and Rain vs BlinkPool Game 1 - TI8 Europe Regional Qualifiers: Losers' Finals,1:19:41,179
29,277378453,beyondthesummit,Dota 2,2018-06-25T12:50:55Z,TNC Predator vs TNC Tigers Game 3 Part 1 - TI8 SEA Regional Qualifiers: Losers' Finals,1:05:26,958
30,277378176,beyondthesummit,Dota 2,2018-06-25T12:49:44Z,TNC Predator vs TNC Tigers Game 2 - TI8 SEA Regional Qualifiers: Losers' Finals,1:01:42,294
31,277377630,beyondthesummit,Dota 2,2018-06-25T12:47:10Z,TNC Predator vs TNC Tigers Game 1 - TI8 SEA Regional Qualifiers: Losers' Finals,0:52:54,246
32,277374379,beyondthesummit,Dota 2,2018-06-25T12:31:20Z,Immortals vs Evil Geniuses Game 1 - TI8 North America Qualifiers: Winners' Finals,0:52:49,954
33,277373508,beyondthesummit,Dota 2,2018-06-25T12:27:11Z,compLexity vs Evil Geniuses Game 2 - TI8 North America Qualifiers: Semifinals,1:40:04,848
34,277372537,beyondthesummit,Dota 2,2018-06-25T12:22:03Z,OpTic Gaming vs Immortals Game 3 - TI8 North America Qualifiers: Semifinals,1:17:58,199
35,277371624,beyondthesummit,Dota 2,2018-06-25T12:17:16Z,OpTic Gaming vs Immortals Game 1 - TI8 North America Qualifiers: Semifinals,0:53:54,145
36,277362566,beyondthesummit,Dota 2,2018-06-25T11:30:35Z,"Bot TI Exhibition | TI8 Hub Day 8 | Lyrical, Purge, Draskyl, Zyori",12:30:42,5602
37,277287907,beyondthesummit,Dota 2,2018-06-25T03:55:54Z,TNC.Tigers vs. Entity Gaming | SEA Qualifier Playoffs @ 21:00 | TI8 Hub Day 7 | Fogged & ODPixel,6:48:32,2714
38,277159558,beyondthesummit,Dota 2,2018-06-24T21:01:50Z,OpTic vs Immortals (Bo3) | NA Qualifier Playoffs | TI8 Hub Day 7,6:48:42,11792
39,277144123,beyondthesummit,Dota 2,2018-06-24T20:19:01Z,Team Kinguin vs BlinkPool Game 1 - TI8 Europe Regional Qualifiers: Losers' Round 1,0:50:00,158
40,277092261,beyondthesummit,Dota 2,2018-06-24T18:02:14Z,OG vs Wind and Rain Game 3 - TI8 Europe Regional Qualifiers: Winners' Finals,1:00:00,633
41,277080826,beyondthesummit,Dota 2,2018-06-24T17:30:36Z,OG vs Wind and Rain Game 2 - TI8 Europe Regional Qualifiers: Winners' Finals,0:48:24,580
42,277080450,beyondthesummit,Dota 2,2018-06-24T17:29:38Z,OG vs Wind and Rain Game 1 - TI8 Europe Regional Qualifiers: Winners' Finals,0:46:12,422
43,277077624,beyondthesummit,Dota 2,2018-06-24T17:20:59Z,OG vs Team Kinguin Game 1 - TI8 Europe Regional Qualifiers: Semifinals,1:12:30,166
44,277069089,beyondthesummit,Dota 2,2018-06-24T16:57:31Z,OG 1-1 WaR | EU Qualifier Playoffs | TI8 Hub Day 6 | syndereN & Purge,3:46:09,1539
45,277056317,beyondthesummit,Dota 2,2018-06-24T16:14:52Z,TNC Tigers vs Fnatic Game 2 - TI8 SEA Regional Qualifiers: Semifinals,1:09:42,215
46,277056001,beyondthesummit,Dota 2,2018-06-24T16:13:57Z,TNC Tigers vs Fnatic Game 1 - TI8 SEA Regional Qualifiers: Semifinals,0:45:12,235
47,277016358,beyondthesummit,Dota 2,2018-06-24T13:55:04Z,OpTic Gaming vs compLexity - TI8 North America Qualifiers: Tiebreakers,1:34:36,291
48,276869701,beyondthesummit,Dota 2,2018-06-24T02:39:09Z,VGJ.Storm vs compLexity - TI8 North America Qualifiers: Tiebreakers,1:01:42,405
49,276867365,beyondthesummit,Dota 2,2018-06-24T02:31:37Z,VGJ.Storm vs OpTic Gaming - TI8 North America Qualifiers: Tiebreakers,1:07:12,376
50,276790017,beyondthesummit,Dota 2,2018-06-23T22:27:39Z,Immortals vs Evil Geniuses - TI8 North America Qualifiers: Group Stage,0:48:30,425
51,276774815,beyondthesummit,Dota 2,2018-06-23T21:41:20Z,OG vs Wind and Rain - TI8 Europe Regional Qualifiers: Group Stage,0:49:48,163
52,276756027,beyondthesummit,Dota 2,2018-06-23T20:47:00Z,compLexity vs Evil Geniuses - TI8 North America Qualifiers: Group Stage,1:09:18,197
53,276753744,beyondthesummit,Dota 2,2018-06-23T20:40:39Z,compLexity vs Evil Geniuses - TI8 North America Qualifiers: Group Stage,1:08:54,139
54,276715248,beyondthesummit,Dota 2,2018-06-23T18:57:27Z,Evil Geniuses vs VGJ.Storm - TI8 North America Qualifiers: Group Stage,1:13:42,249
55,276689949,beyondthesummit,Dota 2,2018-06-23T17:45:34Z,OpTic Gaming vs Evil Geniuses - TI8 North America Qualifiers: Group Stage,2:28:12,342
56,276607598,beyondthesummit,Dota 2,2018-06-23T13:00:34Z,OpTic Gaming vs VGJ.Storm - TI8 North America Qualifiers: Group Stage,0:51:00,214
57,276421886,beyondthesummit,Dota 2,2018-06-23T00:13:34Z,Kingdra vs Singularity Esports - TI8 Europe Regional Qualifiers: Group Stage,1:16:30,200
58,276421478,beyondthesummit,Dota 2,2018-06-23T00:12:28Z,BlinkPool vs Alliance - TI8 Europe Regional Qualifiers: Group Stage,1:16:24,154
59,276410446,beyondthesummit,Dota 2,2018-06-22T23:40:54Z,The Final Tribe vs OG - TI8 Europe Regional Qualifiers: Group Stage,0:45:48,233
60,276338120,beyondthesummit,Dota 2,2018-06-22T20:06:46Z,TNC Predator vs TNC Tigers - TI8 SEA Regional Qualifiers: Group Stage,1:00:18,190
61,276327243,beyondthesummit,Dota 2,2018-06-22T19:37:49Z,SA Qualifier Playoffs | TI8 Hub Day 4,"1 day, 21:19:25",8762
62,276192797,beyondthesummit,Dota 2,2018-06-22T12:03:47Z,SG e-sports vs Thunder Predator Game 3 - TI8 South America Qualifiers: Winners' Finals,1:05:18,135
63,276015223,beyondthesummit,Dota 2,2018-06-21T23:21:57Z,paiN Gaming vs Thunder Predator Game 3 - TI8 South America Qualifiers: Semifinals,1:23:00,509
64,276014780,beyondthesummit,Dota 2,2018-06-21T23:20:36Z,paiN Gaming vs Thunder Predator Game 2 Part 2 - TI8 South America Qualifiers: Semifinals,0:45:06,168
65,275968189,beyondthesummit,Dota 2,2018-06-21T20:58:58Z,Winstrike vs ESPADA Game 4 - TI8 CIS Qualifiers: Grand Finals,1:17:54,322
66,275967229,beyondthesummit,Dota 2,2018-06-21T20:56:16Z,Winstrike vs ESPADA Game 3 - TI8 CIS Qualifiers: Grand Finals,1:16:30,343
67,275965874,beyondthesummit,Dota 2,2018-06-21T20:52:12Z,Winstrike vs ESPADA Game 1 - TI8 CIS Qualifiers: Grand Finals,1:13:18,137
68,275892867,beyondthesummit,Dota 2,2018-06-21T17:29:37Z,ESPADA vs Team Spirit Game 3 - TI8 CIS Qualifiers: Losers' Final,1:01:54,104
69,275823320,beyondthesummit,Dota 2,2018-06-21T13:20:43Z,Invictus Gaming vs LGD.Forever Young Game 2 - TI8 China Regional Qualifiers: Losers' Finals,1:05:30,111
70,275677332,beyondthesummit,Dota 2,2018-06-21T01:49:18Z,SG vs Infamous | TI8 SA Qualifiers,"1 day, 17:48:17",4690
71,275673416,beyondthesummit,Dota 2,2018-06-21T01:37:45Z,Thunder Predator vs paiN Gaming - TI8 South America Qualifiers: Group Stage,0:48:00,189
72,275632407,beyondthesummit,Dota 2,2018-06-20T23:46:37Z,FlyToMoon vs ESPADA Game 3 - TI8 CIS Qualifiers: Winners' Finals -@Dakota @Purge @syndereN @Lacoste,1:36:12,199
73,275611699,beyondthesummit,Dota 2,2018-06-20T22:46:01Z,Invictus Gaming vs Team Serenity Game 3 - TI8 China Regional Qualifiers: Winners' Finals,0:58:42,180
74,275611147,beyondthesummit,Dota 2,2018-06-20T22:44:08Z,Invictus Gaming vs Team Serenity Game 1 - TI8 China Regional Qualifiers: Winners' Finals,0:50:42,119
75,275265454,beyondthesummit,Dota 2,2018-06-20T01:00:45Z,TI8 SA Qualifiers,"1 day, 0:39:46",3505
76,275210962,beyondthesummit,Dota 2,2018-06-19T22:21:03Z,Midas Club vs SG e-sports - TI8 South America Qualifiers: Group Stage,0:59:36,150
