,vid,name,game,date created,title,duration of broadcast,views
0,276454932,overwatchleague,Overwatch,2018-06-23T01:49:54Z,Full Match | Seoul Dynasty vs. Philadelphia Fusion | Stage 3 Week 4 Day 2,1:56:30,15331
1,274544335,overwatchleague,Overwatch,2018-06-18T02:46:45Z,Inaugural Season | Stage 4 | Semi-finals and Finals | Rerun 2,6:43:18,8321
2,274540641,overwatchleague,Overwatch,2018-06-18T02:33:12Z,Full Match | Stage 4 Final | New York Excelsior vs. Los Angeles Valiant,1:34:11,20753
3,274510669,overwatchleague,Overwatch,2018-06-18T00:50:20Z,Full Match | Stage 4 Semi-Final | Dallas Fuel vs. New York Excelsior,2:12:07,12659
4,274471554,overwatchleague,Overwatch,2018-06-17T22:30:48Z,Full Match | Stage 4 Semi-Final | Los Angeles Valiant vs. Los Angeles Gladiators,2:24:26,6478
5,274419729,overwatchleague,Overwatch,2018-06-17T19:45:16Z,Inaugural Season | Stage 4 | Semi-finals and Finals,6:58:57,235260
6,274160527,overwatchleague,Overwatch,2018-06-17T02:17:05Z,Full Match | Boston Uprising vs. Florida Mayhem | Stage 4 Week 5 Day 4,2:04:37,3260
7,274122012,overwatchleague,Overwatch,2018-06-17T00:12:03Z,Full Match | Shanghai Dragons vs. San Francisco Shock | Stage 4 Week 5 Day 4,1:42:48,3873
8,274087927,overwatchleague,Overwatch,2018-06-16T22:19:47Z,Full Match | Philadelphia Fusion vs. London Spitfire | Stage 4 Week 5 Day 4,2:06:19,19241
9,274034706,overwatchleague,Overwatch,2018-06-16T19:45:17Z,Inaugural Season | Stage 4 Week 5 Day 4,6:30:08,95328
10,273830822,overwatchleague,Overwatch,2018-06-16T05:49:26Z,Full Match | Los Angeles Gladiators vs. Seoul Dynasty | Stage 4 Week 5 Day 3,2:01:13,17668
11,273798654,overwatchleague,Overwatch,2018-06-16T03:41:49Z,Full Match | Los Angeles Gladiators vs. Seoul Dynasty | Stage 4 Week 5 Day 3,2:10:01,4922
12,273756809,overwatchleague,Overwatch,2018-06-16T01:31:45Z,Full Match | Houston Outlaws vs. New York Excelsior | Stage 4 Week 5 Day 3,2:20:38,5763
13,273703099,overwatchleague,Overwatch,2018-06-15T22:45:18Z,"Inaugural Season | Stage 4 Week 5 Day 3
",7:18:09,122871
14,273446758,overwatchleague,Overwatch,2018-06-15T05:05:14Z,Full Match | New York Excelsior vs. Boston Uprising | Stage 4 Week 5 Day 2,2:02:25,19816
15,273413928,overwatchleague,Overwatch,2018-06-15T02:57:09Z,Full Match | Florida Mayhem vs. London Spitfire | Stage 4 Week 5 Day 2,1:51:00,1893
16,273379334,overwatchleague,Overwatch,2018-06-15T01:10:33Z,Full Match | Houston Outlaws vs. Philadelphia Fusion | Stage 4 Week 5 Day 2,1:52:48,6212
17,273331301,overwatchleague,Overwatch,2018-06-14T22:45:15Z,Inaugural Season | Stage 4 Week 5 Day 2,6:35:48,77375
18,273071880,overwatchleague,Overwatch,2018-06-14T05:04:44Z,Full Match | Seoul Dynasty vs. Dallas Fuel | Stage 4 Week 5 Day 1,2:01:07,9493
19,273038357,overwatchleague,Overwatch,2018-06-14T02:58:31Z,Full Match | Los Angeles Valiant vs. San Francisco Shock | Stage 4 Week 5 Day 1,1:47:36,3591
20,273001608,overwatchleague,Overwatch,2018-06-14T01:07:20Z,Full Match | Los Angeles Gladiators vs. Shanghai Dragons | Stage 4 Week 5 Day 1,1:54:54,2646
21,272952750,overwatchleague,Overwatch,2018-06-13T22:45:18Z,Inaugural Season | Stage 4 Week 5 Day 1,6:24:49,86548
22,272267183,overwatchleague,Overwatch,2018-06-12T02:55:12Z,Watchpoint: Recap Edition | Stage 4 Week 4,0:45:06,13268
23,271475439,overwatchleague,Overwatch,2018-06-10T02:29:18Z,Full Match | Houston Outlaws vs. Los Angeles Valiant | Stage 4 Week 4 Day 4,2:05:07,7723
24,271434327,overwatchleague,Overwatch,2018-06-10T00:21:54Z,Full Match | New York Excelsior vs. San Francisco Shock | Stage 4 Week 4 Day 4,1:53:42,22033
