,vid,name,game,date created,title,duration of broadcast,views
0,99999999999,sadas,adsads,2018-07-10T20:26:43Z,new symmetra main SYMSCAN,18656,2108
0,282157839,playhearthstone,Hearthstone,2018-07-08T08:08:26Z,HCT Italy - Day 3,29315,3330
1,281792520,playhearthstone,Hearthstone,2018-07-07T08:12:54Z,HCT Italy - Day 2,44342,1904
2,281459928,playhearthstone,Hearthstone,2018-07-06T12:00:19Z,HCT Italy - Day 1,25388,2262
3,281448258,playhearthstone,Hearthstone,2018-07-06T10:54:15Z,HCT Italy - Day 1,3401,270
4,280975251,playhearthstone,Hearthstone,2018-07-05T00:55:03Z,2018 HCT Summer Championship - Day 4,5444,1158
5,279921953,playhearthstone,Hearthstone,2018-07-02T02:51:34Z,A83650 vs. Bunnyhoppor – Top 8 – 2018 HCT Summer Championship,5051,7260
6,279889046,playhearthstone,Hearthstone,2018-07-02T01:01:05Z,Bunnyhoppor vs. Viper – Top 8 – 2018 HCT Summer Championship,6450,2059
7,279859225,playhearthstone,Hearthstone,2018-07-01T23:18:50Z,A83650 vs. killinallday – Top 8 – 2018 HCT Summer Championship,3135,1425
8,279842746,playhearthstone,Hearthstone,2018-07-01T22:21:41Z,Bunnyhoppor vs. Turna – Top 8 – 2018 HCT Summer Championship,7771,1237
9,279802429,playhearthstone,Hearthstone,2018-07-01T20:14:48Z,Nalguidan vs. Viper – Top 8 – 2018 HCT Summer Championship,7147,621
10,279757215,playhearthstone,Hearthstone,2018-07-01T18:08:29Z,Jinsoo vs. killinallday - Top 8 - 2018 HCT Summer Championship,2870,874
11,279737761,playhearthstone,Hearthstone,2018-07-01T17:12:29Z,A83650 vs. XiaoT - Top 8 - 2018 HCT Summer Championship,4990,1546
12,279706208,playhearthstone,Hearthstone,2018-07-01T15:21:01Z,Rebroadcast - 2018 HCT Summer Championship - Day 3,41772,16147
13,279540883,playhearthstone,Hearthstone,2018-07-01T02:12:23Z,glory vs. killinallday - Group D - Decider Match - 2018 HCT Summer Championship,4474,1203
14,279518307,playhearthstone,Hearthstone,2018-07-01T00:57:39Z,Rugal vs. Turna - Group C - Decider Match - 2018 HCT Summer Championship,4102,668
15,279501052,playhearthstone,Hearthstone,2018-06-30T23:59:21Z,Bloodtrail vs A83650 - Group B - Decider Match - 2018 HCT Summer Championship,4642,1074
16,279479069,playhearthstone,Hearthstone,2018-06-30T22:40:43Z,Viper vs Tansoku - Group A - Decider Match - 2018 HCT Summer Championship,6012,344
17,279446898,playhearthstone,Hearthstone,2018-06-30T20:57:18Z,glory vs. Leaoh - Group D - Elimination - 2018 HCT Summer Championship,2738,128
18,279431378,playhearthstone,Hearthstone,2018-06-30T20:11:48Z,dog vs. Rugal - Group C - Elimination - 2018 HCT Summer Championship,4012,903
19,279406891,playhearthstone,Hearthstone,2018-06-30T18:59:57Z,A83650 vs. YuYi - Group B - Elimination - 2018 HCT Summer Championship,5537,367
20,279370450,playhearthstone,Hearthstone,2018-06-30T17:21:43Z,Rase vs. Tansoku - Group A - Elimination - 2018 HCT Summer Championship,5147,226
21,279330698,playhearthstone,Hearthstone,2018-06-30T15:23:00Z,2018 HCT Summer Championship - Day 3,38854,78659
22,279133292,playhearthstone,Hearthstone,2018-06-30T00:46:26Z,Bunnyhoppor vs. killinallday – Group D – Winners Match – 2018 HCT Summer Championship,5129,1642
23,279106626,playhearthstone,Hearthstone,2018-06-29T23:19:51Z,Jinsoo vs. Turna – Group C – Winners Match – 2018 HCT Summer Championship,5831,830
24,279078259,playhearthstone,Hearthstone,2018-06-29T21:45:31Z,Bunnyhoppor vs. glory – Group D – Match 2 – 2018 HCT Summer Championship,7693,442
25,279036075,playhearthstone,Hearthstone,2018-06-29T19:36:38Z, Turna vs. dog – Group C – Match 1 – 2018 HCT Summer Championship,3219,1196
26,279016172,playhearthstone,Hearthstone,2018-06-29T18:41:33Z,Leaoh vs. killinallday – Group D – Match 2 - 2018 HCT Summer Championship,4108,277
27,278999028,playhearthstone,Hearthstone,2018-06-29T17:53:11Z,Jinsoo vs. Rugal – Group C – Match 1 - 2018 HCT Summer Championship,6192,215
