,vid,name,game,date created,title,duration of broadcast,views
0,281043967,riotgames,League of Legends,2018-07-05T05:59:55Z,Rift Rivals LCK x LPL x LMS: Day 1,7:29:01,6351
1,279743966,riotgames,League of Legends,2018-07-01T17:31:00Z,(NA LCS Summer (2018) | Week 3 Day 2,6:35:45,30354
2,279535811,riotgames,League of Legends,2018-07-01T01:56:16Z,(REBROADCAST) EU LCS Summer Split (2018) | Week 3 Day 2,5:29:38,7026
3,279425811,riotgames,League of Legends,2018-06-30T19:57:47Z,NA LCS Summer (2018) | Week 3 Day 1,5:57:58,28253
4,279302584,riotgames,League of Legends,2018-06-30T13:30:59Z,EU LCS Summer (2018) | Week 3 Day 2,6:25:59,9059
5,279159842,riotgames,League of Legends,2018-06-30T02:08:16Z,(REBROADCAST) EU LCS Summer: Week 3 Day 1,5:38:28,3646
6,279065539,riotgames,League of Legends,2018-06-29T21:04:05Z,NA Academy Summer Split (2018) | Week 3 Day 2,5:03:35,4088
7,278941632,riotgames,League of Legends,2018-06-29T14:32:19Z,EU LCS Summer (2018) | Week 3 Day 1,6:30:15,11794
8,277081279,riotgames,League of Legends,2018-06-24T17:31:58Z,NA LCS Summer (2018) | Week 2 Day 2,6:48:26,36800
9,276860847,riotgames,League of Legends,2018-06-24T02:11:11Z,(REBROADCAST) EU LCS Summer: Week 2 Day 2,5:35:21,8091
10,276738267,riotgames,League of Legends,2018-06-23T20:01:10Z,NA LCS Summer: Week 2 Day 1,6:09:26,30695
11,276615619,riotgames,League of Legends,2018-06-23T13:31:30Z,EU LCS Summer (2018) | Week 2 Day 2,6:28:57,11514
12,276471042,riotgames,League of Legends,2018-06-23T02:36:36Z,(REBROADCAST) EU LCS Summer Split (2018) | Week 2 Day 1,5:44:39,3953
13,276361724,riotgames,League of Legends,2018-06-22T21:12:56Z,NA Academy Summer: Week 2 Day 2,5:23:01,4993
14,276226503,riotgames,League of Legends,2018-06-22T14:31:27Z,EU LCS Summer (2018) | Week 2 Day 1,6:40:07,14079
15,274372932,riotgames,League of Legends,2018-06-17T17:30:39Z,NA LCS Summer (2018) | Week 1 Day 2,6:44:59,41576
